episode,total_reward,avg_wait_time,total_wait_time,num_switches,num_overrides,steps,epsilon,timestamp
1,-1289.5236,177.84,64024.0,124,68,360,0.9773,2026-06-12 11:45:48
2,-1599.8044,213.34,76804.0,122,65,360,0.9545,2026-06-12 11:45:53
3,-813.8158,139.77,50316.0,123,63,360,0.9317,2026-06-12 11:45:58
4,-1511.6644,204.62,73664.0,126,73,360,0.9089,2026-06-12 11:46:05
5,-450.724,113.12,40724.0,135,81,360,0.8861,2026-06-12 11:46:11
6,-554.318,118.94,42818.0,125,63,360,0.8633,2026-06-12 11:46:18
7,-931.1891,149.14,53689.0,133,79,360,0.8405,2026-06-12 11:46:24
8,-1319.748,184.02,66248.0,130,73,360,0.8177,2026-06-12 11:46:31
9,-822.952,135.98,48952.0,131,71,360,0.7949,2026-06-12 11:46:39
10,-761.911,134.48,48411.0,128,68,360,0.7721,2026-06-12 11:46:46
11,-719.539,132.05,47539.0,136,73,360,0.7493,2026-06-12 11:46:52
12,-1365.0242,187.57,67524.0,136,78,360,0.7265,2026-06-12 11:46:58
13,-605.2428,124.29,44743.0,142,86,360,0.7037,2026-06-12 11:47:05
14,-1123.8011,159.17,57301.0,146,80,360,0.6809,2026-06-12 11:47:12
15,-803.2111,133.92,48211.0,141,82,360,0.6581,2026-06-12 11:47:19
16,-1619.4312,208.14,74931.0,139,83,360,0.6353,2026-06-12 11:47:26
17,-1054.6766,161.6,58177.0,144,97,360,0.6125,2026-06-12 11:47:33
18,-981.22,154.78,55720.0,139,89,360,0.5897,2026-06-12 11:47:40
19,-772.726,138.13,49726.0,137,81,360,0.5669,2026-06-12 11:47:47
20,-458.072,105.76,38072.0,146,82,360,0.5441,2026-06-12 11:47:54
21,-513.8701,113.53,40870.0,134,71,360,0.5213,2026-06-12 11:48:01
22,-692.7102,126.97,45710.0,143,74,360,0.4985,2026-06-12 11:48:09
23,-447.22,108.94,39220.0,144,81,360,0.4757,2026-06-12 11:48:15
24,-372.222,100.62,36222.0,153,86,360,0.4529,2026-06-12 11:48:22
25,-689.153,128.2,46153.0,145,92,360,0.4301,2026-06-12 11:48:28
26,-501.9758,112.43,40476.0,139,80,360,0.4073,2026-06-12 11:48:35
27,-662.04,127.89,46040.0,143,78,360,0.3845,2026-06-12 11:48:42
28,-248.609,96.14,34609.0,148,71,360,0.3617,2026-06-12 11:48:48
29,-534.9022,117.78,42402.0,132,83,360,0.3389,2026-06-12 11:48:55
30,-279.77,97.97,35270.0,115,60,360,0.3161,2026-06-12 11:49:01
31,-494.214,115.87,41714.0,123,66,360,0.2933,2026-06-12 11:49:08
32,-770.5808,141.89,51081.0,133,72,360,0.2705,2026-06-12 11:49:15
33,-776.0892,134.97,48589.0,134,81,360,0.2477,2026-06-12 11:49:21
